,...1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,contrast,name,,somp
1,ACROYT_G010800,101.533234042801,7.18838623541761,1.33180632858144,5.39747114963347,6.75867374041941E-08,7.26557427095087E-05,Up,25v10,USOMP-10,,
2,ACROYT_G002575,321.802436373562,1.70363148028024,0.327744867849507,5.19804167021316,2.01398987541563E-07,0.00015827840431424,Up,30v1,acidic SOMP (Full-Length p27),hypothetical protein AWC38_SpisGene4292 [Stylophora pistillata],yes
3,ACROYT_G006119,13.3376632927713,-3.45375379864295,0.934170690898841,-3.69713354560484,0.00021804764977767,0.0271323958873356,Down,30v1,uncharacterized protein LOC111345553 [S. pistillata],,
4,ACROYT_G009042,655.161783832705,-4.5525068440809,0.771794168064132,-5.89860228602117,3.66593681008301E-09,5.47397684481595E-06,Down,30v1,USOMP-11,,
5,ACROYT_G011464,241.569802175013,2.21968387842379,0.606876541470085,3.65755425814759,0.000254633368489,0.0294743058781227,Up,30v1,USOMP-7,,
6,ACROYT_G023126,800.946779076016,-1.57602223765846,0.452247867567456,-3.48486383393147,0.00049238754276689,0.0442911493288873,Down,30v1,chymotrypsin-like elastase ,,
7,ACROYT_G040168,2336.21773690744,3.20161486851055,0.396530564202337,8.07406832547937,6.79937968946763E-16,5.07641687615653E-12,Up,30v1,carbonic anhydrase,yes,
8,ACROYT_G040174,320.948717980458,3.40763861023455,0.759680560585411,4.48562038708562,7.27020823565633E-06,0.00229340273192689,Up,30v1,carbonic anhydrase,yes,
9,ACROYT_G040177,524.639400107227,3.50926736003293,0.352003271893672,9.96941687829809,2.07443151064106E-23,3.09754113168923E-19,Up,30v1,carbonic anhydrase,yes,
10,ACROYT_G017809,2190.94516961134,-1.4091799203308,0.395475939914261,-3.56325070151248,0.00036629055245782,0.0140999026626908,Down,10v5,kielin/chordin llke,,
11,ACROYT_G027406,6019.35947669084,-1.01919947414567,0.295079188008233,-3.45398630457541,0.0005523654256604,0.0185790143566453,Down,10v5,viral inclusion protein,,
12,ACROYT_G033195,160.844802771911,-1.04554883078933,0.323210618910843,-3.23488391041306,0.00121692198292656,0.0313596122344813,Down,10v5,coadhesin,,
13,ACROYT_G038995,97.6441067767256,-1.34213305221309,0.243428712887673,-5.51345417018409,3.51858691073372E-08,2.58632893114694E-05,Down,10v5,Na+/Ca2+ exchanger,,
14,ACROYT_G040177,1759.83059770635,1.80687789644309,0.430326245799863,4.19885590079354,2.68266960040771E-05,0.00247962203304751,Up,10v5,carbonic anhydrase,yes,
