sample,BrevMin,CladC15,Dtrenchii,SGoreauC,SKawaF,SMicReefgen,SMicUQCass,SMicUQSCI,SPilosum,Slin,Snat,Stri,SymbA3
op_12,0.9936291990141666,0.0015685300735118687,3.2132929717583984e-4,0.0010362105520443678,6.352735394555095e-4,8.113237190771175e-4,1.985229810798467e-5,3.970459621596934e-5,0,1.985229810798467e-5,8.472563786525697e-4,9.443539686987228e-4,1.2711426478542585e-4
op_13,0.9904155938400947,0.0031481144424104915,7.462685980935901e-4,9.427336258653867e-4,4.7242729988787905e-4,0.0021935583508595168,5.887666466012061e-4,0,0,3.927729463650474e-5,7.447760608974028e-4,4.728200728342441e-4,2.3566376781902846e-4
op_14,0.9948714241653452,0.0014763049918464686,6.950522971782762e-4,0.0017100953099882523,2.887162607253048e-4,3.7871364949672044e-4,0,0,0,0,2.60861996438886e-4,2.028926638969113e-4,1.1593866508394931e-4
op_25,0.9725566034326436,0.010087565493421172,0,0.0015885617201899444,5.957106450712292e-4,0.006171363712722911,3.971404300474861e-4,0,0,0,0.002165011054403871,0.005364175788651395,0.0010738677228484025
op_26,0.9800624398144672,0.007796066604052802,4.97348772317273e-4,6.961260141080264e-4,1.7385764588112546e-4,0.005681812748766748,0,2.6040977725561243e-4,8.692882294056273e-5,2.897627431352091e-5,0.0019082325449169197,0.0018055406287498014,0.0010022603522303747
op_27,0.992961819085438,0.0025673570735865515,2.888782244677689e-4,5.873135035283466e-4,2.888782244677689e-4,5.626144153363522e-4,2.4073185372314078e-5,0,0,2.166586683508267e-4,0.0013454262572732613,6.477853451835995e-4,5.091960169951874e-4
op_28,0.9762968501549549,0.008368903958683414,1.4779782351447116e-4,0.0011084836763585336,1.4779782351447116e-4,0.005899645721227145,0,4.4368906619044233e-4,7.389891175723558e-5,0,0.00313486573565369,0.0030206919169887612,0.0013573752111569032
op_5,0.9904140647123982,0.0049967613526146325,1.8688098011349657e-4,0.0012147575175677466,2.4917464015132877e-4,0.0011691585584200535,6.229366003783219e-5,2.4917464015132877e-4,3.1146830018916096e-5,9.375195835693743e-5,4.983492803026575e-4,5.030835984655328e-4,3.3140227140126725e-4
op_6,0.9333813625217213,0.007221427960941239,7.470230581849668e-4,0.0010546647305586698,2.1971266417204906e-4,0.0015341217063149152,0.001319418490885989,0.0012112759175805063,2.1971266417204906e-4,4.394253283440981e-5,0.020981197209912816,0.018898452981160295,0.01316768756156074
op_A1,0.9901987426788069,0.004510267179131821,2.2368362688864193e-4,0.0014659106488147148,5.81577429910469e-4,7.740348224854565e-4,0,0,2.236836268886419e-5,0,0.0015200868232471438,5.684695693747946e-4,1.348588586511622e-4
op_A3,0.9933491121192483,0.003128554763447829,2.3289695398574206e-4,8.571613739468567e-4,5.120414776409591e-4,9.610628645495788e-4,0,4.6662346079066755e-4,7.777057679844459e-5,0,1.5554115359688918e-4,2.2517174335709656e-4,3.406351263771873e-5
op_B2,0.9903988978031024,0.003961343211997835,5.874748942603938e-4,9.3995983081663e-4,9.3995983081663e-4,0.0010574548096687088,0,0,0,0,8.224648519645513e-4,2.349899577041575e-4,0.0010574548096687088
op_B5,0.9552472422107109,0.007305932851904808,2.4175771526760965e-4,0.0010870034334494406,4.408955293634218e-4,0.0021091462356903072,4.408955293634218e-4,9.797678430298262e-5,4.898839215149131e-5,2.4494196075745654e-4,0.005055308139680995,0.027270907131284338,4.09004086072801e-4
op_C4,0.9509772524206976,0.009529911870738516,2.4024987909424832e-4,4.8049975818849664e-4,7.137023074959804e-4,0.003529110557308445,2.4024987909424832e-4,0,0,0,0.004053896376543314,0.029671260484604823,5.638664662342009e-4
op_C6,0.991619972922016,0.005208698852374574,8.002241267734267e-5,5.962469968588802e-4,2.3790663288973974e-4,8.890890160516158e-4,2.421478207616389e-4,0,0,0,4.457248386127987e-4,5.201456824027274e-4,1.6004482535468534e-4
op_D1,0.9824659206802795,0.010802245295184964,9.833811535198605e-5,5.891436490737484e-4,9.833811535198605e-5,0.0036842374916621575,0,0,0,1.966762307039721e-4,7.867049228158884e-4,6.883668074639023e-4,5.900286921119163e-4
op_D3,0.9901862501585441,0.003125924840040274,4.415498886797537e-4,0.0012620323724508635,4.139530206372691e-4,0.0014256542030747549,5.41450550993548e-5,5.5193736084969214e-5,0,2.4837181238236147e-4,9.545480687215e-4,0.0013349984915551928,4.973783527297001e-4
op_E2,0.994194943268114,0.002495823282408648,1.7863843473599572e-4,0.0010050924685071027,6.030554811042616e-4,6.05646386134191e-4,6.700616456714018e-5,1.786831055123738e-4,0,2.2335388189046726e-5,2.0206825694630575e-4,1.5634771732332708e-4,2.9036004645760743e-4
op_E5,0.991819967291419,0.004113410509201636,3.174651070321515e-4,8.107000616577707e-4,3.4769987913045163e-4,7.230796921168971e-4,7.558693024575035e-5,7.558693024575035e-5,0,7.549622592945545e-5,7.264811039779558e-4,5.499402696959812e-4,3.645859993473523e-4
op_F6,0.9916198027607847,0.005358633204294007,0,9.672828523965058e-4,5.6898991317441515e-5,6.88705390906312e-4,2.2759596526976606e-4,0,0,0,5.691606101483675e-4,4.550212335655798e-4,5.6898991317441515e-5
op_OO1,0.9885450633516614,0.004753956490557016,3.353095864212288e-4,0.0015300023906287354,4.3021754721491747e-4,0.0022946688979201533,4.781257470714798e-5,0,0,0,0.001247812574707148,7.1953143676787e-4,9.562514941429597e-5
op_OO2,0.9900817863630321,0.004882725621372558,3.525320101014576e-4,0.0015123388418767443,3.544371095653715e-4,0.0010404944397678438,0,2.2502325993531525e-4,3.544371095653715e-4,0,5.316556643480573e-4,3.544371095653715e-4,3.101324708697001e-4
op_OO3,0.991132351190357,0.0035416308554942167,2.1305605820214264e-4,3.8350090476385677e-4,6.069967098179044e-4,0.001651014006220044,3.408896931234282e-4,4.2611211640428526e-5,1.704448465617141e-4,0,3.8350090476385677e-4,7.670018095277135e-4,7.670018095277135e-4
op_OO4,0.9921022196821712,0.00385454068125544,1.1602723221021162e-4,0.0011215192265439057,2.707302084904938e-4,0.0014456219618510968,0,0,0,0,5.380956272468915e-4,4.7389389209057434e-4,7.735148814014109e-5
op_OO5,0.9818886518136984,0.006580850819154602,1.8311677942997945e-4,0.0014651173522192654,3.6458550784508907e-4,0.004028386030680117,1.8476483044484922e-4,0,0,0,0.0029278541863059413,0.002376672680221703,0
op_OO6,0.9932676405414244,0.0031382868971406336,1.6171337082528388e-4,3.248071721321293e-4,8.120179303303232e-5,0.0018491678318447286,0,4.060089651651616e-5,0,0,4.060089651651616e-4,3.650020596834803e-4,3.6557047223471147e-4
